Date : 2023-06-11 23:26:39
Directory : d:\java_project\java-learning-travel-demo\java-web
Total : 65 files,  -899 codes, -310 comments, -232 blanks, all -1441 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| ..\java-ecology\src\main\java\com\wendy\bean_validation                                                                             |          4 |        -64 |        -25 |        -25 |       -114 |
| ..\java-ecology\src\main\java\com\wendy\bean_validation (Files)                                                                     |          2 |        -35 |        -19 |        -14 |        -68 |
| ..\java-ecology\src\main\java\com\wendy\bean_validation\myValidation                                                                |          2 |        -29 |         -6 |        -11 |        -46 |
| ..\java-ecology\src\main\java\com\wendy\dom4j                                                                                       |          5 |       -105 |        -42 |        -25 |       -172 |
| ..\java-ecology\src\main\java\com\wendy\http                                                                                        |          5 |       -100 |        -64 |        -27 |       -191 |
| ..\java-ecology\src\main\java\com\wendy\http\common                                                                                 |          2 |        -23 |        -12 |        -10 |        -45 |
| ..\java-ecology\src\main\java\com\wendy\http\common\entity                                                                          |          2 |        -23 |        -12 |        -10 |        -45 |
| ..\java-ecology\src\main\java\com\wendy\http\java_net                                                                               |          1 |        -27 |        -40 |         -5 |        -72 |
| ..\java-ecology\src\main\java\com\wendy\http\okhttp                                                                                 |          1 |        -20 |         -6 |         -5 |        -31 |
| ..\java-ecology\src\main\java\com\wendy\http\rest_template                                                                          |          1 |        -30 |         -6 |         -7 |        -43 |
| ..\java-ecology\src\main\java\com\wendy\jackson                                                                                     |          4 |        -98 |        -30 |        -25 |       -153 |
| ..\java-ecology\src\main\java\com\wendy\jmock                                                                                       |          2 |        -15 |        -12 |         -4 |        -31 |
| ..\java-ecology\src\main\java\com\wendy\jpa                                                                                         |          4 |        -91 |        -27 |        -29 |       -147 |
| ..\java-ecology\src\main\java\com\wendy\jpa\controller                                                                              |          1 |        -26 |         -6 |         -8 |        -40 |
| ..\java-ecology\src\main\java\com\wendy\jpa\dao                                                                                     |          1 |        -21 |         -9 |         -6 |        -36 |
| ..\java-ecology\src\main\java\com\wendy\jpa\pojo                                                                                    |          1 |        -23 |         -6 |         -7 |        -36 |
| ..\java-ecology\src\main\java\com\wendy\jpa\service                                                                                 |          1 |        -21 |         -6 |         -8 |        -35 |
| ..\java-ecology\src\main\java\com\wendy\junit                                                                                       |          2 |        -16 |        -12 |         -6 |        -34 |
| ..\java-ecology\src\main\java\com\wendy\poi                                                                                         |          6 |       -169 |        -50 |        -39 |       -258 |
| ..\java-ecology\src\main\java\com\wendy\poi (Files)                                                                                 |          1 |       -100 |        -18 |        -11 |       -129 |
| ..\java-ecology\src\main\java\com\wendy\poi\controller                                                                              |          1 |        -25 |         -6 |         -6 |        -37 |
| ..\java-ecology\src\main\java\com\wendy\poi\mapper                                                                                  |          1 |         -9 |         -6 |         -3 |        -18 |
| ..\java-ecology\src\main\java\com\wendy\poi\pojo                                                                                    |          1 |        -14 |         -7 |        -10 |        -31 |
| ..\java-ecology\src\main\java\com\wendy\poi\service                                                                                 |          2 |        -21 |        -13 |         -9 |        -43 |
| ..\java-ecology\src\main\java\com\wendy\rabbitmq                                                                                    |          3 |        -70 |        -32 |        -18 |       -120 |
| ..\java-ecology\src\main\java\com\wendy\rabbitmq\config                                                                             |          1 |        -33 |        -12 |         -8 |        -53 |
| ..\java-ecology\src\main\java\com\wendy\rabbitmq\consumer                                                                           |          1 |        -17 |         -8 |         -4 |        -29 |
| ..\java-ecology\src\main\java\com\wendy\rabbitmq\controller                                                                         |          1 |        -20 |        -12 |         -6 |        -38 |
| ..\java-ecology\src\main\java\com\wendy\spring_jdbc                                                                                 |          5 |        -86 |        -30 |        -31 |       -147 |
| ..\java-ecology\src\main\java\com\wendy\spring_jdbc\controller                                                                      |          1 |        -22 |         -6 |         -7 |        -35 |
| ..\java-ecology\src\main\java\com\wendy\spring_jdbc\dao                                                                             |          2 |        -37 |        -12 |        -13 |        -62 |
| ..\java-ecology\src\main\java\com\wendy\spring_jdbc\pojo                                                                            |          1 |        -11 |         -6 |         -6 |        -23 |
| ..\java-ecology\src\main\java\com\wendy\spring_jdbc\service                                                                         |          1 |        -16 |         -6 |         -5 |        -27 |
| ..\java-ecology\src\main\resources                                                                                                  |          4 |        -81 |        -12 |         -4 |        -97 |
| ..\java-ecology\src\main\resources (Files)                                                                                          |          1 |        -44 |        -11 |         -4 |        -59 |
| ..\java-ecology\src\main\resources\json                                                                                             |          1 |        -18 |          0 |          0 |        -18 |
| ..\java-ecology\src\main\resources\mapper                                                                                           |          1 |         -7 |         -1 |          0 |         -8 |
| ..\java-ecology\src\main\resources\xml                                                                                              |          1 |        -12 |          0 |          0 |        -12 |
| ..\java-ecology\src\test                                                                                                            |          7 |       -102 |         -8 |        -27 |       -137 |
| ..\java-ecology\src\test\java                                                                                                       |          7 |       -102 |         -8 |        -27 |       -137 |
| ..\java-ecology\src\test\java\com                                                                                                   |          7 |       -102 |         -8 |        -27 |       -137 |
| ..\java-ecology\src\test\java\com\wendy                                                                                             |          7 |       -102 |         -8 |        -27 |       -137 |
| ..\java-ecology\src\test\java\com\wendy\javaecology                                                                                 |          7 |       -102 |         -8 |        -27 |       -137 |
| ..\java-ecology\src\test\java\com\wendy\javaecology (Files)                                                                         |          1 |         -9 |          0 |         -5 |        -14 |
| ..\java-ecology\src\test\java\com\wendy\javaecology\http                                                                            |          2 |        -28 |          0 |         -6 |        -34 |
| ..\java-ecology\src\test\java\com\wendy\javaecology\jmock                                                                           |          1 |        -20 |          0 |         -3 |        -23 |
| ..\java-ecology\src\test\java\com\wendy\javaecology\junit                                                                           |          3 |        -45 |         -8 |        -13 |        -66 |
| .mvn                                                                                                                                |          1 |          2 |         16 |          1 |         19 |
| .mvn\wrapper                                                                                                                        |          1 |          2 |         16 |          1 |         19 |
| src                                                                                                                                 |          7 |        107 |         34 |         33 |        174 |
| src\main                                                                                                                            |          6 |         98 |         34 |         28 |        160 |
| src\main\java                                                                                                                       |          5 |         98 |         34 |         26 |        158 |
| src\main\java\com                                                                                                                   |          5 |         98 |         34 |         26 |        158 |
| src\main\java\com\wendy                                                                                                             |          5 |         98 |         34 |         26 |        158 |
| src\main\java\com\wendy (Files)                                                                                                     |          1 |          9 |          0 |          5 |         14 |
| src\main\java\com\wendy\config                                                                                                      |          1 |         10 |         13 |          5 |         28 |
| src\main\java\com\wendy\cookie                                                                                                      |          1 |         50 |          6 |          7 |         63 |
| src\main\java\com\wendy\filter                                                                                                      |          1 |         26 |          9 |          7 |         42 |
| src\main\java\com\wendy\listener                                                                                                    |          1 |          3 |          6 |          2 |         11 |
| src\main\resources                                                                                                                  |          1 |          0 |          0 |          2 |          2 |
| src\test                                                                                                                            |          1 |          9 |          0 |          5 |         14 |
| src\test\java                                                                                                                       |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com                                                                                                                   |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\wendy                                                                                                             |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\wendy\javaweb                                                                                                     |          1 |          9 |          0 |          5 |         14 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                            | language        | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\java_project\java-learning-travel-demo\java-ecology\.mvn\wrapper\maven-wrapper.properties                                        | Java Properties |         -2 |        -16 |         -1 |        -19 |
| d:\java_project\java-learning-travel-demo\java-ecology\mvnw.cmd                                                                     | Batch           |       -102 |        -51 |        -36 |       -189 |
| d:\java_project\java-learning-travel-demo\java-ecology\pom.xml                                                                      | XML             |        -38 |          0 |         -4 |        -42 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\JavaEcologyApplication.java                          | Java            |         -9 |          0 |         -5 |        -14 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\bean_validation\User.java                            | Java            |        -21 |         -6 |         -9 |        -36 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\bean_validation\ValidationController.java            | Java            |        -14 |        -13 |         -5 |        -32 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\bean_validation\myValidation\MyNotNull.java          | Java            |        -13 |          0 |         -7 |        -20 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\bean_validation\myValidation\MyNotNullValidator.java | Java            |        -16 |         -6 |         -4 |        -26 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\dom4j\CreateXML.java                                 | Java            |        -43 |        -14 |        -10 |        -67 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\dom4j\CreateXMLTest.java                             | Java            |         -7 |         -6 |         -2 |        -15 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\dom4j\Dependency.java                                | Java            |         -8 |         -6 |         -5 |        -19 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\dom4j\XMLParser.java                                 | Java            |        -36 |        -10 |         -5 |        -51 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\dom4j\XMLParserTest.java                             | Java            |        -11 |         -6 |         -3 |        -20 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\http\common\entity\Text.java                         | Java            |        -10 |         -6 |         -4 |        -20 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\http\common\entity\TranslationResult.java            | Java            |        -13 |         -6 |         -6 |        -25 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\http\java_net\HttpURLConnectionDemo.java             | Java            |        -27 |        -40 |         -5 |        -72 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\http\okhttp\Client.java                              | Java            |        -20 |         -6 |         -5 |        -31 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\http\rest_template\RestTemplateDemo.java             | Java            |        -30 |         -6 |         -7 |        -43 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jackson\GenerateJsonTest.java                        | Java            |        -23 |         -8 |         -5 |        -36 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jackson\Website.java                                 | Java            |        -14 |         -6 |         -7 |        -27 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jackson\WebsiteParser.java                           | Java            |        -50 |        -10 |        -10 |        -70 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jackson\WebsiteParserTest.java                       | Java            |        -11 |         -6 |         -3 |        -20 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jmock\FileExport.java                                | Java            |         -9 |         -6 |         -2 |        -17 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jmock\FileReader.java                                | Java            |         -6 |         -6 |         -2 |        -14 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jpa\controller\JpaCategotyController.java            | Java            |        -26 |         -6 |         -8 |        -40 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jpa\dao\CategoryRepository.java                      | Java            |        -21 |         -9 |         -6 |        -36 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jpa\pojo\JpaCategory.java                            | Java            |        -23 |         -6 |         -7 |        -36 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\jpa\service\JpaCategoryService.java                  | Java            |        -21 |         -6 |         -8 |        -35 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\junit\MathUtil.java                                  | Java            |         -9 |         -6 |         -3 |        -18 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\junit\StatisticsUtils.java                           | Java            |         -7 |         -6 |         -3 |        -16 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\poi\CustomerExcelUtil.java                           | Java            |       -100 |        -18 |        -11 |       -129 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\poi\controller\CustomerController.java               | Java            |        -25 |         -6 |         -6 |        -37 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\poi\mapper\CustomerMapper.java                       | Java            |         -9 |         -6 |         -3 |        -18 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\poi\pojo\Customer.java                               | Java            |        -14 |         -7 |        -10 |        -31 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\poi\service\CustomerService.java                     | Java            |         -6 |         -6 |         -3 |        -15 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\poi\service\CustomerServiceImpl.java                 | Java            |        -15 |         -7 |         -6 |        -28 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\rabbitmq\config\RabbitmqConfig.java                  | Java            |        -33 |        -12 |         -8 |        -53 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\rabbitmq\consumer\RabbitmqHandler.java               | Java            |        -17 |         -8 |         -4 |        -29 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\rabbitmq\controller\ProduceController.java           | Java            |        -20 |        -12 |         -6 |        -38 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\spring_jdbc\controller\CategotyController.java       | Java            |        -22 |         -6 |         -7 |        -35 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\spring_jdbc\dao\CategaryRepositoryImpl.java          | Java            |        -29 |         -6 |         -8 |        -43 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\spring_jdbc\dao\CategoryRepository.java              | Java            |         -8 |         -6 |         -5 |        -19 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\spring_jdbc\pojo\Category.java                       | Java            |        -11 |         -6 |         -6 |        -23 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\java\com\wendy\spring_jdbc\service\CategoryService.java             | Java            |        -16 |         -6 |         -5 |        -27 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\resources\application.yml                                           | YAML            |        -44 |        -11 |         -4 |        -59 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\resources\json\website.json                                         | JSON            |        -18 |          0 |          0 |        -18 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\resources\mapper\CustomerMapper.xml                                 | XML             |         -7 |         -1 |          0 |         -8 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\main\resources\xml\website.xml                                           | XML             |        -12 |          0 |          0 |        -12 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\JavaEcologyApplicationTests.java         | Java            |         -9 |          0 |         -5 |        -14 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\http\HttpURLConnectionDemoTest.java      | Java            |        -12 |          0 |         -2 |        -14 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\http\RestTemplateDemoTest.java           | Java            |        -16 |          0 |         -4 |        -20 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\jmock\FileExportTest.java                | Java            |        -20 |          0 |         -3 |        -23 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\junit\MathUtilTest.java                  | Java            |        -35 |          0 |         -8 |        -43 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\junit\StatisticsUtilsTest.java           | Java            |         -7 |          0 |         -3 |        -10 |
| d:\java_project\java-learning-travel-demo\java-ecology\src\test\java\com\wendy\javaecology\junit\SuiteClassesTest.java              | Java            |         -3 |         -8 |         -2 |        -13 |
| d:\java_project\java-learning-travel-demo\java-web\.mvn\wrapper\maven-wrapper.properties                                            | Java Properties |          2 |         16 |          1 |         19 |
| d:\java_project\java-learning-travel-demo\java-web\mvnw.cmd                                                                         | Batch           |        102 |         51 |         36 |        189 |
| d:\java_project\java-learning-travel-demo\java-web\pom.xml                                                                          | XML             |         38 |          0 |          4 |         42 |
| d:\java_project\java-learning-travel-demo\java-web\src\main\java\com\wendy\JavaWebApplication.java                                  | Java            |          9 |          0 |          5 |         14 |
| d:\java_project\java-learning-travel-demo\java-web\src\main\java\com\wendy\config\FilterConfig.java                                 | Java            |         10 |         13 |          5 |         28 |
| d:\java_project\java-learning-travel-demo\java-web\src\main\java\com\wendy\cookie\CookieSessionTest.java                            | Java            |         50 |          6 |          7 |         63 |
| d:\java_project\java-learning-travel-demo\java-web\src\main\java\com\wendy\filter\FilterTest.java                                   | Java            |         26 |          9 |          7 |         42 |
| d:\java_project\java-learning-travel-demo\java-web\src\main\java\com\wendy\listener\ListenerTest.java                               | Java            |          3 |          6 |          2 |         11 |
| d:\java_project\java-learning-travel-demo\java-web\src\main\resources\application.properties                                        | Java Properties |          0 |          0 |          2 |          2 |
| d:\java_project\java-learning-travel-demo\java-web\src\test\java\com\wendy\javaweb\JavaWebApplicationTests.java                     | Java            |          9 |          0 |          5 |         14 |
| Total                                                                                                                               |                 |       -899 |       -310 |       -232 |     -1,441 |
+-------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
